medidor_iot,fecha_instalacion,fecha_desinstalacion,estado,tipo_medidor_id
72:A5:89:AD:4B:27,2019-09-28,,Operativo,4
B5:EB:BC:05:06:F7,2019-02-18,,Nuevo,5
43:E2:47:30:C3:EF,2018-09-11,,Reacondicionado,1
3D:81:C1:1F:58:6B,2016-05-17,,Reacondicionado,4
2F:98:2C:C2:85:03,2015-06-25,,Operativo,1
94:76:AA:59:5D:9D,2021-12-06,,Nuevo,4
1E:12:EB:B3:62:58,2022-05-12,,Dañado,2
D8:2A:9D:D6:E9:7D,2017-03-08,,Operativo,5
BB:F8:43:67:2E:55,2025-08-10,,Mantenimiento,3
56:1E:07:7B:83:9D,2017-10-27,,Mantenimiento,3
E1:17:36:D5:B0:13,2018-12-02,,Operativo,4
C6:DC:C2:67:E1:8C,2025-05-22,,Operativo,1
5F:24:B7:B8:9A:B2,2016-10-31,,Operativo,2
93:55:F8:58:22:F9,2017-02-26,,Operativo,2
71:45:32:5E:5F:4D,2023-01-12,,Dañado,4
29:A5:88:18:97:5C,2025-04-05,,Operativo,3
E1:EC:CE:E4:FD:FC,2021-07-29,,Operativo,2
E6:51:32:F5:BB:43,2019-02-04,,Reacondicionado,4
B8:51:02:9E:9E:7A,2024-03-18,,Operativo,3
ED:1A:45:30:13:33,2025-12-25,,Mantenimiento,5
19:3B:A3:31:B9:E7,2017-09-23,,Operativo,3
3B:AC:FF:AE:CC:8C,2025-04-06,,Operativo,5
23:60:32:08:0F:CB,2018-10-26,,Dañado,2
D7:31:04:3C:E6:49,2022-12-23,,Operativo,1
A3:A3:96:FA:2C:1B,2021-08-21,,Operativo,1
79:43:CA:5F:5E:4E,2016-09-08,,Reacondicionado,4
5B:F2:B2:26:95:44,2021-01-11,,Dañado,4
AF:90:14:25:22:57,2024-04-25,,Operativo,3
21:6F:55:2C:04:83,2018-02-12,,Reacondicionado,3
AE:25:D1:2A:F6:57,2020-11-26,,Operativo,5
F4:64:88:83:E1:E8,2016-12-02,,Operativo,3
CD:C8:7C:7A:D6:CE,2022-05-03,,Operativo,2
BE:75:6D:F5:C1:CD,2019-10-05,,Operativo,2
54:B5:CC:60:CC:97,2016-04-12,,Operativo,4
1B:6E:C9:D2:01:1C,2021-04-14,,Operativo,4
72:22:C3:3E:1D:94,2019-09-22,,Mantenimiento,3
3E:2B:C0:BA:C5:CD,2021-12-17,,Operativo,5
7B:98:B5:06:D6:2A,2018-07-11,,Operativo,5
49:30:2B:DD:EA:B7,2022-11-17,,Operativo,2
03:91:E3:94:20:15,2022-01-06,,Mantenimiento,5
DD:E4:9F:7A:C0:0E,2017-02-18,,Operativo,1
40:91:1B:99:F8:DE,2023-06-30,,Operativo,4
ED:6B:65:DA:82:62,2015-06-15,,Operativo,4
A0:AB:6F:65:40:1B,2025-01-28,,Operativo,3
CD:19:2C:6F:13:56,2024-01-15,,Operativo,3
77:B9:A3:C7:8B:58,2021-01-26,,Operativo,3
B5:5F:AC:8D:A8:6E,2022-04-10,,Operativo,5
95:EB:08:C7:AE:33,2014-10-16,,Operativo,5
F3:3D:AC:DB:9B:9B,2014-06-14,,Operativo,3
C0:73:78:04:34:D8,2015-11-13,,Operativo,5
26:C3:0B:80:D0:6C,2025-03-19,,Operativo,1
0A:A4:65:58:27:82,2018-02-12,,Operativo,1
85:3E:FA:E0:B7:5D,2023-02-26,,Operativo,2
EA:65:25:2D:AB:C3,2014-08-17,,Reacondicionado,5
16:96:AD:BC:F5:06,2021-10-27,,Mantenimiento,3
79:CB:91:AF:9B:96,2018-10-28,,Operativo,2
4E:F9:25:30:39:DF,2018-01-30,,Operativo,2
EF:BF:92:B9:19:12,2019-11-28,,Operativo,2
E0:30:0E:77:BD:E7,2017-03-14,,Mantenimiento,5
78:69:4A:8B:A3:F6,2019-01-23,,Mantenimiento,1
B1:1A:BC:3F:92:56,2026-05-06,,Operativo,3
00:40:DF:8C:19:7E,2025-09-29,,Operativo,1
47:C7:D8:83:19:AE,2022-10-05,,Operativo,1
62:CD:C0:C8:7F:BE,2016-12-28,,Mantenimiento,5
96:D4:F9:5C:F6:1F,2019-03-31,,Operativo,4
F2:78:68:3D:C7:6E,2023-01-18,,Operativo,1
CA:FF:8F:5C:3C:61,2025-05-24,,Mantenimiento,1
BA:0E:43:D7:48:78,2023-02-05,,Nuevo,1
D8:2D:E1:C4:D1:02,2016-01-16,,Mantenimiento,1
17:3F:F1:D6:22:EC,2014-10-29,,Mantenimiento,5
E9:D0:A7:3C:49:B2,2022-03-30,,Reacondicionado,1
9E:16:16:0C:08:34,2018-02-08,,Nuevo,3
47:37:AF:8A:D8:DF,2018-02-04,,Reacondicionado,2
15:0F:F3:39:0C:6B,2022-02-19,,Operativo,5
D8:F5:3D:1F:5B:E5,2017-07-01,,Mantenimiento,5
62:41:06:3E:92:09,2018-11-24,,Operativo,2
F0:C0:2A:A1:97:10,2020-09-28,,Operativo,5
E2:72:51:1C:25:98,2024-02-04,,Mantenimiento,1
9C:35:5B:23:8D:46,2015-08-28,,Operativo,2
F8:0E:AC:93:73:04,2025-10-14,,Operativo,2
C4:81:D3:CC:62:E0,2024-11-13,,Operativo,5
2C:62:FE:32:5A:69,2019-08-01,,Operativo,3
0C:1D:52:41:5F:0C,2014-11-11,,Operativo,5
B5:FB:99:6A:1B:41,2017-03-30,,Operativo,5
3E:55:CD:BA:D3:95,2014-08-08,,Reacondicionado,2
D8:4D:D4:71:14:6E,2020-06-11,,Operativo,3
6D:64:29:3D:73:0A,2014-11-29,,Operativo,3
20:0A:DE:90:0D:47,2017-07-08,,Nuevo,4
37:18:F3:4D:05:F6,2021-02-03,,Operativo,3
D6:67:33:BC:28:9F,2016-11-22,,Operativo,1
01:24:2F:EE:C0:56,2024-02-21,,Reacondicionado,5
50:60:6B:DB:5F:08,2015-04-21,,Operativo,2
63:F1:AC:12:84:C7,2019-01-31,,Operativo,2
03:0C:0B:F5:1C:C7,2020-09-03,,Dañado,3
52:57:54:88:22:35,2021-11-21,,Dañado,5
42:E4:78:8F:B1:61,2020-10-01,,Operativo,4
3E:F6:84:C8:8D:1A,2023-09-16,,Operativo,1
44:B0:E8:75:8D:05,2020-08-11,,Operativo,3
5C:2F:87:76:B5:77,2019-02-28,,Operativo,2
EF:F6:6F:17:BB:65,2018-06-22,,Dañado,4
E7:4B:26:73:61:8C,2023-04-10,,Operativo,1
2D:CC:59:DA:D4:0B,2022-09-07,,Operativo,3
0E:5B:2F:22:0B:FA,2017-11-02,,Operativo,4
33:9A:7C:AD:FF:FF,2020-04-11,,Operativo,5
72:73:13:3B:F2:74,2019-09-13,,Operativo,3
49:FF:4D:87:26:EF,2025-03-19,,Reacondicionado,3
28:CD:B7:03:AB:33,2019-02-28,,Reacondicionado,5
F0:7A:2E:84:9D:D0,2025-05-26,,Operativo,1
3D:1C:D3:84:8A:A9,2020-02-22,,Dañado,4
8F:41:0F:4A:36:98,2022-07-16,,Operativo,5
3E:7A:8F:DC:3E:C5,2022-11-15,,Operativo,5
9B:D7:72:EF:BE:B8,2022-10-29,,Mantenimiento,1
E4:97:85:7D:E9:47,2019-06-27,,Operativo,2
84:5A:69:E6:BC:2C,2014-06-14,,Operativo,3
83:9E:6E:69:76:EE,2016-02-20,,Operativo,3
CC:45:41:5B:84:FD,2014-06-22,,Operativo,4
45:28:35:65:B9:08,2019-05-28,,Operativo,1
69:7F:04:61:50:B2,2015-11-05,,Operativo,3
82:E2:58:7D:E6:5D,2021-04-14,,Operativo,3
01:22:60:A5:DC:B4,2022-09-05,,Operativo,3
75:3F:12:B9:0F:99,2025-02-16,,Mantenimiento,5
3E:B1:A4:DD:47:E2,2026-02-24,,Operativo,2
26:38:CC:E3:F3:FF,2022-02-23,,Operativo,1
52:42:0F:F5:3D:96,2016-09-10,,Nuevo,5
1F:44:E2:A7:ED:75,2022-02-01,,Operativo,1
F2:07:01:75:BA:69,2021-06-17,,Operativo,3
7E:1C:46:4A:65:8E,2022-10-15,,Operativo,5
DE:3E:A4:23:7A:0B,2024-05-21,,Operativo,5
C4:F8:E6:AF:95:04,2026-04-28,,Operativo,3
B0:D2:F9:5A:C0:40,2018-10-27,,Operativo,2
9E:D6:64:E6:A9:88,2018-08-20,,Operativo,4
24:27:AE:32:83:93,2022-07-19,,Mantenimiento,3
DE:75:53:F4:9D:9E,2014-06-28,,Operativo,4
AA:75:C0:64:D1:C2,2016-02-01,,Operativo,4
89:55:E3:F0:70:2C,2015-09-26,,Dañado,4
EF:6D:08:0B:9A:02,2018-05-17,,Operativo,4
56:1B:16:9D:6C:BD,2014-07-07,,Operativo,2
92:0D:98:6B:4D:D6,2018-10-18,,Nuevo,4
C5:C0:72:73:AD:C3,2025-04-26,,Operativo,3
A5:28:9B:EC:47:80,2017-07-02,,Mantenimiento,3
4B:D4:C1:EC:AF:FE,2016-09-15,,Dañado,5
5B:DE:DB:55:6E:AC,2026-01-24,,Reacondicionado,4
3B:D3:E0:94:AA:86,2016-12-05,,Operativo,2
82:85:F1:C9:B3:89,2019-10-27,,Operativo,1
B2:52:47:FA:FE:AA,2016-01-04,,Operativo,1
87:55:6A:24:CA:09,2024-01-10,,Operativo,2
5B:33:E1:AC:9C:EF,2018-12-17,,Operativo,1
CC:CE:F0:D0:BC:FA,2014-10-02,,Operativo,5
AC:98:04:B7:9B:7E,2024-10-12,,Operativo,5
72:DB:5C:89:B8:85,2023-01-23,,Operativo,5
83:EF:B9:C2:DA:F4,2017-03-19,,Operativo,5
76:13:E5:C4:81:4A,2020-02-17,,Reacondicionado,2
C1:FE:59:73:5C:07,2021-06-25,,Operativo,3
7E:5E:EF:22:09:23,2021-02-04,,Operativo,5
FB:A3:CB:5C:8B:87,2016-03-22,,Dañado,4
EA:6F:29:A7:41:9B,2018-10-02,,Reacondicionado,1
B1:E7:A0:19:E8:6E,2020-09-30,,Nuevo,4
9F:23:E3:59:13:AE,2023-12-20,,Operativo,4
22:EF:EE:8B:83:47,2014-12-13,,Reacondicionado,5
6A:FA:E5:00:B4:AC,2018-03-19,,Operativo,2
47:54:B3:CE:09:48,2014-12-28,,Reacondicionado,2
45:C4:5A:35:C6:85,2018-04-04,,Operativo,3
B5:80:FE:74:46:7A,2025-03-26,,Operativo,5
81:AC:9B:DF:FF:35,2020-02-06,,Operativo,5
EC:FE:92:B5:AE:57,2024-09-11,,Operativo,2
E2:0F:39:A6:BB:14,2019-07-17,,Reacondicionado,4
5F:F0:AE:6B:6E:FB,2019-03-22,,Operativo,3
C9:56:CD:43:4C:BC,2015-03-19,,Operativo,2
16:85:89:F0:09:E0,2022-01-02,,Mantenimiento,4
C2:CD:0D:3B:43:11,2020-05-03,,Operativo,4
4E:6F:4C:22:16:A7,2016-07-25,,Operativo,2
50:31:F1:79:39:C5,2020-01-10,,Operativo,1
79:36:F0:09:90:37,2022-11-13,,Operativo,5
41:EC:61:C5:AF:22,2017-12-21,,Operativo,5
C2:85:FC:CA:B7:BD,2020-05-31,,Operativo,3
C0:A1:9D:7A:53:BC,2020-09-14,,Operativo,4
FA:EA:1B:2A:9E:EA,2014-12-10,,Operativo,1
5A:A2:B8:90:B8:8D,2018-10-27,,Operativo,1
4D:54:FA:62:9E:41,2014-08-28,,Operativo,3
30:44:15:0D:0F:75,2025-01-13,,Operativo,4
61:A1:93:5A:16:E1,2016-05-03,,Operativo,5
83:BF:09:6A:90:EB,2015-01-11,,Operativo,3
C1:CA:28:A9:94:85,2022-06-25,,Operativo,3
37:2B:49:B3:E4:3E,2020-12-04,,Operativo,2
50:C8:23:49:C5:CE,2019-09-27,,Operativo,4
72:AE:48:F7:3A:DE,2019-02-22,,Mantenimiento,3
BA:63:A8:46:4D:7A,2022-01-23,,Mantenimiento,1
E8:75:AF:B5:80:6C,2023-05-16,,Mantenimiento,1
2A:91:F1:18:ED:5E,2020-01-26,,Mantenimiento,2
6B:8B:3D:5D:E4:56,2020-09-27,,Operativo,5
B4:7C:E8:52:94:B3,2020-11-20,,Operativo,5
4F:6A:5A:27:5B:D2,2017-10-20,,Operativo,2
82:FC:FA:FC:50:02,2017-01-04,,Operativo,5
89:D9:2C:55:7C:05,2023-01-14,,Mantenimiento,5
6C:E5:02:5A:76:26,2024-11-29,,Operativo,5
32:23:CF:FD:D6:B5,2021-05-29,,Operativo,5
03:AC:36:04:D8:F2,2022-02-12,,Operativo,2
CF:8D:B1:03:E2:C8,2015-12-05,,Operativo,5
79:BF:FF:9A:F2:C2,2019-11-16,,Mantenimiento,1
DD:0D:69:1D:81:90,2017-01-20,,Operativo,5
0B:CE:5D:40:BC:86,2023-03-31,,Dañado,5
84:4D:FA:84:43:14,2018-06-09,,Operativo,1
BE:3C:9F:83:E2:7C,2023-04-07,,Operativo,3
11:5F:C7:0A:19:A4,2017-12-24,,Operativo,1
84:AD:A4:3C:A0:A7,2024-11-02,,Operativo,1
36:16:A0:FB:C5:5C,2016-06-10,,Operativo,3
B2:0F:06:23:98:31,2017-06-05,,Dañado,5
AF:55:9D:C4:25:E0,2023-03-03,,Operativo,2
A3:16:8A:02:FD:8A,2021-07-09,,Operativo,4
0A:C3:9D:D4:CB:67,2017-08-22,,Operativo,3
97:70:0D:0C:E9:3C,2022-06-04,,Operativo,5
A6:D1:58:5B:D0:6E,2019-03-23,,Nuevo,4
5B:40:FC:3A:FC:19,2017-06-05,,Reacondicionado,3
58:57:6F:E5:A7:D7,2014-06-03,,Nuevo,4
F8:A2:DA:E7:35:C1,2016-02-28,,Operativo,4
40:B2:77:52:6A:B9,2022-09-08,,Operativo,4
E9:EC:68:17:18:4E,2018-01-28,,Operativo,1
A9:BA:78:87:04:B8,2015-06-24,,Operativo,5
5A:B3:26:12:0B:98,2023-06-15,,Reacondicionado,5
80:C8:C5:2F:B7:07,2023-04-11,,Operativo,1
55:AA:17:DA:83:EB,2018-04-20,,Operativo,2
AF:C4:9F:DC:67:A5,2025-06-30,,Nuevo,1
C3:57:9D:41:2E:95,2014-08-13,,Operativo,4
99:A3:5E:7C:73:E0,2015-09-25,,Dañado,4
69:3C:41:1E:0C:E9,2023-11-03,,Reacondicionado,4
87:1E:6C:A1:E0:C6,2018-08-16,,Operativo,1
A5:9B:E1:71:28:D4,2017-03-05,,Operativo,2
E7:40:50:0D:46:B2,2020-11-18,,Operativo,4
11:58:6C:13:5A:B8,2024-07-15,,Operativo,3
99:81:AA:26:5E:9C,2016-10-08,,Operativo,4
58:C6:01:82:C2:30,2015-06-03,,Mantenimiento,2
A6:4E:A8:A8:D1:C9,2019-12-21,,Mantenimiento,5
D3:19:2D:0E:D3:7E,2020-10-13,,Operativo,4
9A:22:D6:34:C5:80,2023-02-12,,Operativo,1
E1:22:60:D9:BE:D8,2023-03-06,,Nuevo,1
CB:74:5D:13:70:F0,2016-08-07,,Reacondicionado,2
1A:8A:C4:CC:7C:BA,2019-10-18,,Nuevo,3
89:C3:3D:16:3C:E6,2016-06-14,,Operativo,3
DC:15:FF:A1:B2:72,2014-12-23,,Operativo,5
AD:F9:F6:8F:C7:9F,2017-03-31,,Operativo,2
66:17:87:DE:6E:A6,2019-09-17,,Operativo,5
69:C0:51:F4:C0:91,2018-10-13,,Operativo,3
7A:82:F6:29:E1:AF,2017-06-27,,Operativo,1
8A:92:4E:02:D9:2A,2024-01-25,,Operativo,3
A3:39:FE:FF:60:01,2014-08-27,,Operativo,3
BB:5C:5A:62:D9:B1,2020-12-15,,Operativo,4
E3:DB:42:FF:09:A7,2016-09-07,,Operativo,1
E2:E9:00:36:03:41,2021-03-14,,Reacondicionado,3
AB:61:8E:84:F7:A5,2025-11-19,,Mantenimiento,5
92:5F:97:42:36:03,2016-04-03,,Dañado,5
F7:07:F8:93:57:E9,2019-10-23,,Operativo,1
4D:37:60:8E:0C:A2,2026-03-19,,Operativo,1
02:FA:BB:87:B1:3A,2020-11-04,,Operativo,1
D6:92:85:D7:75:A2,2014-12-06,,Operativo,4
8B:05:B6:55:1A:61,2020-05-01,,Operativo,1
91:32:74:42:CF:5D,2021-05-16,,Mantenimiento,4
71:AB:F7:17:4E:C2,2018-06-07,,Operativo,3
46:ED:0E:04:06:6D,2021-11-15,,Operativo,2
BB:B4:41:B0:CA:BB,2025-07-18,,Operativo,3
88:1A:AB:F0:D5:51,2015-05-18,,Operativo,5
70:12:19:CC:DB:0D,2019-10-24,,Operativo,3
8F:25:D4:AA:2A:3B,2020-02-03,,Operativo,1
81:CD:FC:44:84:78,2022-02-21,,Operativo,1
F4:27:AE:50:6E:5F,2022-11-13,,Operativo,3
D0:95:56:17:C2:AA,2018-03-09,,Mantenimiento,3
D2:5A:53:8D:08:39,2021-06-20,,Dañado,4
61:CC:87:6D:56:20,2015-09-13,,Operativo,3
4A:0C:8D:1E:8F:91,2020-09-03,,Operativo,4
2A:E7:14:F6:FD:85,2021-06-09,,Operativo,2
79:D9:80:36:BF:5B,2019-06-21,,Operativo,1
6A:28:66:43:71:7F,2022-03-01,,Operativo,5
6A:94:4B:5A:7D:93,2026-02-07,,Operativo,2
8F:88:02:D4:8F:F8,2015-05-13,,Mantenimiento,4
04:B7:FB:67:13:A6,2025-12-03,,Nuevo,5
76:F5:3B:B1:FD:8A,2023-02-26,,Operativo,3
1F:32:F8:A1:AB:CB,2019-08-20,,Operativo,5
2E:5A:16:6B:CF:B7,2023-06-25,,Reacondicionado,3
6A:4C:F7:9C:B3:82,2014-07-23,,Operativo,3
0D:6B:E1:95:EA:E5,2023-05-10,,Operativo,5
77:75:9A:D3:6A:EE,2016-09-16,,Dañado,1
D2:0D:05:3A:E0:CD,2025-03-20,,Reacondicionado,1
5D:6B:03:BA:56:46,2014-12-14,,Operativo,5
B9:9A:93:54:24:BA,2023-05-18,,Dañado,3
89:90:F4:62:B8:B0,2016-11-04,,Operativo,3
3B:27:99:A1:6A:43,2020-12-04,,Operativo,5
5D:78:5E:A2:9E:41,2016-07-15,,Operativo,1
10:26:98:D0:CF:C3,2016-06-21,,Nuevo,3
10:07:D5:78:03:F4,2020-10-13,,Operativo,3
F0:A1:07:17:24:5F,2014-11-14,,Mantenimiento,1
CB:43:96:C0:25:0B,2021-02-22,,Operativo,1
8E:C1:99:C5:26:AE,2018-07-13,,Operativo,2
06:5B:E3:29:52:CF,2024-11-09,,Operativo,1
BA:1F:B6:21:57:FC,2021-02-23,,Operativo,3
44:87:20:7C:7C:BE,2019-07-28,,Operativo,3
DF:5D:70:1F:D0:19,2017-07-24,,Mantenimiento,1
F1:77:47:D6:EF:FE,2024-02-05,,Operativo,5
97:2F:4D:9B:31:84,2020-01-29,,Operativo,4
33:A1:CB:A8:91:DA,2026-04-02,,Operativo,2
78:3A:AB:33:51:62,2019-01-23,,Operativo,3
FF:70:2A:14:E3:5A,2016-06-10,,Operativo,4
B0:18:1B:3A:EE:8E,2014-05-29,,Operativo,4
BF:C1:C3:14:39:54,2018-01-31,,Mantenimiento,4
20:F2:A3:6B:99:6B,2017-03-03,,Operativo,3
94:27:93:46:80:9C,2016-12-08,,Dañado,4
83:71:79:A6:4E:A2,2020-11-25,,Operativo,3
FE:25:38:60:E9:0C,2024-06-21,,Operativo,3
DC:83:E2:06:66:BE,2024-03-11,,Reacondicionado,2
2E:7F:9F:CD:75:A1,2020-03-28,,Operativo,2
21:12:E2:47:A6:A2,2017-05-22,,Operativo,3
ED:BC:97:D9:01:FF,2016-02-02,,Operativo,5
87:17:27:9E:C8:1C,2016-10-11,,Operativo,5
48:26:9F:51:49:85,2014-07-04,,Dañado,5
79:25:FC:B7:86:E1,2023-08-05,,Nuevo,3
47:E8:A0:5F:BC:45,2017-11-06,,Reacondicionado,5
76:47:81:76:A2:3A,2024-04-18,,Reacondicionado,5
22:24:A6:D5:16:01,2023-11-30,,Operativo,4
28:5C:E2:E4:23:A1,2022-12-17,,Nuevo,1
77:08:FD:05:93:88,2019-10-12,,Operativo,2
2E:B3:C7:66:B8:E8,2019-11-14,,Dañado,3
D3:1E:8D:1B:E2:20,2020-08-05,,Operativo,2
E3:E2:0D:0C:9A:81,2019-02-13,,Mantenimiento,3
87:7D:46:5B:64:73,2017-03-30,,Mantenimiento,5
C9:66:2F:E4:32:B9,2017-06-09,,Operativo,2
61:DB:7B:84:5D:99,2015-02-01,,Mantenimiento,4
C3:26:B4:3E:B7:1C,2018-03-20,,Operativo,3
7D:D9:B9:E7:93:A8,2019-04-19,,Operativo,4
D9:FA:EA:66:7A:CB,2026-04-08,,Operativo,3
77:0C:65:88:79:28,2024-12-28,,Operativo,3
BE:98:15:77:A1:1D,2019-05-04,,Operativo,3
B6:CB:6C:8F:B5:CF,2020-08-11,,Mantenimiento,5
27:C0:1D:65:90:34,2022-04-10,,Operativo,1
DE:7C:32:55:CC:8A,2024-09-24,,Reacondicionado,2
D0:7F:84:5F:7A:85,2024-01-13,,Operativo,1
A8:14:40:82:E3:8B,2019-12-12,,Mantenimiento,3
4C:26:CD:2F:65:B2,2021-03-05,,Operativo,5
C4:0F:C3:25:1F:FC,2022-12-05,,Nuevo,4
FA:51:35:AB:9F:DA,2023-09-21,,Operativo,1
5E:D1:5C:06:D4:01,2022-04-09,,Reacondicionado,4
01:F5:D4:DB:F5:8D,2016-07-10,,Operativo,1
7C:4F:A0:B1:5F:2B,2024-11-27,,Dañado,4
27:48:86:0D:7F:97,2023-12-13,,Operativo,3
36:DD:E5:DE:EE:AF,2015-09-04,,Operativo,2
E1:F7:27:E2:01:F4,2019-12-04,,Operativo,1
80:B6:8D:1A:C7:42,2019-09-08,,Operativo,1
15:AB:F4:D2:A9:DE,2018-01-19,,Operativo,3
